method,feature,group,n,outlier_rows_abs_error_gt_1,outlier_fraction,mean_abs_error_log10
CatPred,source_database,SABIO-RK,378,130,0.3439153439153439,0.8860220064589894
CatPred,source_database,BRENDA;SABIO-RK,95,37,0.3894736842105263,0.8792404264683152
CatPred,experimental_substrate_support,substrate_supported,778,230,0.2956298200514138,0.8169068291971129
CatPred,experimental_substrate_support,participant_ambiguous,378,130,0.3439153439153439,0.8860220064589894
CatPred,substrate_role_group,other_reactant,606,195,0.3217821782178218,0.8754257534326476
CatPred,substrate_role_group,currency_or_cofactor,516,155,0.3003875968992248,0.7900328595092846
CatPred,substrate_role_group,carrier_linked_variable,34,10,0.2941176470588235,0.9501432197022458
CatPred,substrate_role_group_substrate_supported,other_reactant,496,154,0.3104838709677419,0.8400116124644105
CatPred,substrate_role_group_substrate_supported,currency_or_cofactor,256,69,0.26953125,0.7635211825287218
CatPred,substrate_role_group_substrate_supported,carrier_linked_variable,26,7,0.2692307692307692,0.9017819463712874
